+------+-----------------------------------------------------+------------+----------+----------+----------+---------+--------+---------+--------+---------+---------+
| Rank |                       Function                      | Complexity |   Prel   |    a0    |    a1    |    a2   |   a3   |  -logL  | AIFeyn | Codelen |   L(D)  |
|  32  |           pow((pow(Abs(a0 - x),a1)/x),a2)           |     9      | 4.58e-12 |  -3.30   |  -0.61   |  -0.60  |   --   | -1251.9 |  14.5  |   12.9  | -1224.5 |
|  33  |            x*(-a2 + pow(Abs(a0 - x),a1))            |     9      | 3.63e-12 | -5.3e-03 |  -0.52   |  -0.71  |   --   | -1248.8 |  14.5  |   10.1  | -1224.3 |
|  34  |           x + 1/sqrt(Abs(a0 + pow(x,a1)))           |     9      | 2.91e-12 |   1.05   |  -1.04   |    --   |   --   | -1247.0 |  16.1  |   6.8   | -1224.1 |
|  35  |           (a0 - pow(Abs(a1 - x),a2))**(-2)          |     9      | 2.89e-12 |   0.23   | 1.5e-03  |  -0.26  |   --   | -1250.4 |  16.1  |   10.2  | -1224.1 |
|  36  |              (a0 - x)*(a1 - pow(x,a2))              |     9      | 2.75e-12 | 1.9e-03  |  -0.71   |  -0.51  |   --   | -1248.6 |  14.5  |   10.1  | -1224.0 |
|  37  |             a0 + (a1 + pow(x,a2))**(-2)             |     9      | 1.91e-12 |  -0.01   |  -0.24   |  -0.26  |   --   | -1250.7 |  16.1  |   10.9  | -1223.6 |
|  38  |               -a1*(a2 - x) + pow(x,a0)              |     9      | 1.78e-12 |   0.45   |   0.75   |   0.06  |   --   | -1249.4 |  14.5  |   11.3  | -1223.6 |
|  39  |            x + pow(Abs(a0 + x**(-2)),a1)            |     9      | 1.49e-12 |   3.38   |  -0.26   |    --   |   --   | -1245.9 |  16.1  |   6.4   | -1223.4 |
|  40  |              x + pow(Abs(a0 + a1/x),a2)             |     9      | 1.36e-12 |  -1.14   |  -0.82   |  -0.55  |   --   | -1248.6 |  14.5  |   10.8  | -1223.3 |
|  41  |            a1*x + sqrt(x) - sqrt(Abs(a0))           |     9      | 1.06e-12 | 1.6e-05  |   0.72   |    --   |   --   | -1242.4 |  14.5  |   4.8   | -1223.0 |
|  42  |     x + pow(Abs(a0),(pow(Abs(a1),(pow(x,a2)))))     |     9      | 9.42e-13 | 4.2e-03  |  -0.07   |   0.26  |   --   | -1247.3 |  12.5  |   11.8  | -1222.9 |
|  43  |                a0/(a1 + pow(x,a2))**2               |     8      | 8.00e-13 |   1.09   |  -0.20   |  -0.27  |   --   | -1251.2 |  14.3  |   14.1  | -1222.8 |
|  44  |         (a0 + sqrt(Abs(a1 + pow(x,a2))))**2         |     9      | 7.49e-13 |   0.31   |  -0.03   |   0.91  |   --   | -1254.2 |  16.1  |   15.4  | -1222.7 |
|  45  |            (-a2 + 1/(a0 - pow(x,a1)))**2            |     9      | 3.80e-13 |   0.26   |  -0.24   |  -0.04  |   --   | -1250.6 |  16.1  |   12.4  | -1222.0 |
|  46  |      x/pow(Abs(a0),(pow(Abs(a1),(pow(x,a2)))))      |     9      | 3.69e-13 |  -0.03   |   0.14   |   0.30  |   --   | -1246.3 |  12.5  |   11.9  | -1222.0 |
|  47  |         -x + pow(Abs(a0),(-a2 + pow(x,a1)))         |     9      | 3.39e-13 | -1.8e+05 |   0.07   |   0.92  |   --   | -1250.5 |  12.5  |   16.1  | -1221.9 |
|  48  |            x/pow((x*Abs(1/(a0 + x))),a1)            |     9      | 3.05e-13 |   2.67   |   0.41   |    --   |   --   | -1245.2 |  14.5  |   8.9   | -1221.8 |
|  49  |              x*(a0 + 1/(a1 + sqrt(x)))              |     9      | 2.80e-13 |   0.72   | 4.3e-03  |    --   |   --   | -1242.4 |  16.1  |   4.5   | -1221.7 |
|  50  |              pow(x,a0)/(a1 + pow(x,a2))             |     9      | 2.66e-13 |   0.36   |  -0.42   |  -0.19  |   --   | -1249.6 |  14.5  |   13.4  | -1221.7 |
+------+-----------------------------------------------------+------------+----------+----------+----------+---------+--------+---------+--------+---------+---------+
