+------+---------------------------------------------------------+------------+----------+----------+----------+----------+--------+---------+--------+---------+---------+
| Rank |                         Function                        | Complexity |   Prel   |    a0    |    a1    |    a2    |   a3   |  -logL  | AIFeyn | Codelen |   L(D)  |
|  33  |              a0 + sqrt(x)*exp(pow(x,a1)/2)              |     9      | 2.32e-04 |   0.36   |    --    |    --    |   --   | -2040.7 |  17.5  |   3.5   | -2019.6 |
|  34  |             pow(Abs(a0*x + sqrt(x)),exp(a1))            |     9      | 2.20e-04 |   0.66   |  -0.02   |    --    |   --   | -2041.8 |  17.5  |   4.7   | -2019.6 |
|  35  |        pow(Abs(a0),(pow(x,a1)/2))*sqrt(Abs(1/a2))       |     8      | 2.11e-04 | -4.8e+06 |   0.09   | -1.8e+06 |   --   | -2045.8 |  12.9  |   13.4  | -2019.6 |
|  36  |              x*pow(Abs(a0 + pow(x,a1)),a2)              |     9      | 1.69e-04 |   0.71   |  -0.57   |   0.91   |   --   | -2047.4 |  14.5  |   13.6  | -2019.3 |
|  37  |           pow(((x + pow(x,a0))*Abs(1/a1)),a2)           |     9      | 1.16e-04 |   1.78   |   0.76   |   0.50   |   --   | -2046.7 |  14.5  |   13.3  | -2019.0 |
|  38  |                x + pow(Abs(a0 + 1/x),a1)                |     8      | 1.13e-04 |   1.80   |  -0.50   |    --    |   --   | -2038.9 |  12.9  |   7.1   | -2018.9 |
|  39  |         a0/pow(Abs(a1),(pow(x,(sqrt(Abs(a2))))))        |     8      | 1.10e-04 | 6.9e-04  | 4.2e-04  | 8.0e-03  |   --   | -2045.8 |  12.9  |   14.1  | -2018.9 |
|  40  |               pow(Abs(a0 + pow(x,a1)),a2)               |     7      | 1.09e-04 |  -1.97   |   0.04   |  -14.88  |   --   | -2046.9 |  9.7   |   18.3  | -2018.9 |
|  41  |          sqrt(Abs(a0))/pow(Abs(a1),(pow(x,a2)))         |     8      | 1.09e-04 | 4.6e-07  | 4.1e-04  |   0.09   |   --   | -2045.8 |  12.9  |   14.1  | -2018.9 |
|  42  |           x/(exp(a0) - pow(Abs(a1),(sqrt(x))))          |     9      | 1.08e-04 | -5.0e-03 |   0.38   |    --    |   --   | -2042.1 |  17.5  |   5.7   | -2018.9 |
|  43  |             sqrt(Abs(a0 + x*exp(pow(x,a1))))            |     9      | 1.07e-04 | 5.8e-04  |   0.36   |    --    |   --   | -2039.8 |  17.5  |   3.4   | -2018.9 |
|  44  |            exp(pow(x,a0)/2)*sqrt(Abs(a1 - x))           |     9      | 1.06e-04 |   0.36   | -3.5e-04 |    --    |   --   | -2039.6 |  17.5  |   3.3   | -2018.9 |
|  45  |          sqrt(x)*exp(re(pow(Abs(a0 + x),a1))/2)         |     9      | 1.03e-04 | -5.2e-04 |   0.36   |    --    |   --   | -2039.4 |  17.5  |   3.1   | -2018.8 |
|  46  |                 pow(x,a0)*(a1 + sqrt(x))                |     8      | 9.60e-05 |   0.40   |   0.65   |    --    |   --   | -2042.3 |  14.3  |   9.2   | -2018.8 |
|  47  | pow(Abs(a0),(pow(x,(sqrt(Abs(a1))))/2))*sqrt(Abs(1/a2)) |     9      | 8.47e-05 | -5.4e+06 | 8.0e-03  | 2.0e+06  |   --   | -2045.8 |  14.5  |   12.7  | -2018.6 |
|  48  |                    a0*(x + pow(x,a1))                   |     7      | 7.73e-05 |   0.82   |   0.43   |    --    |   --   | -2039.4 |  11.3  |   9.5   | -2018.5 |
|  49  |         pow(Abs(a0),(-a3 + pow(Abs(a1 - x),a2)))        |     9      | 7.72e-05 | 1.2e+03  | 1.9e-03  |   0.10   |  0.93  | -2046.9 |  12.5  |   15.9  | -2018.5 |
|  50  |            pow(Abs(a0 - x),(-a2 + pow(x,a1)))           |     9      | 7.06e-05 | -2.4e+03 |   0.09   |   0.94   |   --   | -2045.8 |  12.5  |   14.9  | -2018.5 |
+------+---------------------------------------------------------+------------+----------+----------+----------+----------+--------+---------+--------+---------+---------+
