+------+------------------------------------------------+------------+----------+----------+----------+-------+---------+--------+---------+---------+
| Rank |                    Function                    | Complexity |   Prel   |    a0    |    a1    |   a2  |  -logL  | AIFeyn | Codelen |   L(D)  |
|  35  |      -a3 + pow(Abs(a0),(a1 - pow(x,a2)))       |     9      | 1.21e-06 |   0.01   |   0.87   |  0.14 | -2018.2 |  12.5  |   19.2  | -1986.5 |
|  36  |            x/pow(Abs(a0 + a1/x),a2)            |     9      | 1.13e-06 |  -0.78   |  -3.03   | -0.40 | -2012.2 |  14.5  |   11.3  | -1986.5 |
|  37  |          a0 + pow((x + pow(x,a1)),a2)          |     9      | 1.11e-06 |  -0.29   |   0.23   |  0.97 | -2013.6 |  12.5  |   14.7  | -1986.4 |
|  38  |        a0 + sqrt(Abs(a1 + (a2 + x)**2))        |     9      | 8.70e-07 |  -0.06   |  -1.00   |  1.00 | -2018.0 |  14.5  |   17.3  | -1986.2 |
|  39  |          a0*(x + pow(Abs(a1 + x),a2))          |     9      | 8.53e-07 |   0.85   | -7.2e-03 |  0.43 | -2013.2 |  14.5  |   12.5  | -1986.2 |
|  40  |        a0 + x + sqrt(Abs(a1 + sqrt(x)))        |     9      | 7.64e-07 |  -0.31   |   0.04   |   --  | -2006.3 |  12.5  |   7.7   | -1986.1 |
|  41  |        x + pow(Abs(a0 + pow(x,a1)),a2)         |     9      | 7.38e-07 |  -1.88   |  -0.08   |  3.12 | -2014.8 |  12.5  |   16.3  | -1986.0 |
|  42  |            x + (a0 + pow(x,a1))**4             |     9      | 6.26e-07 |  -1.91   |  -0.07   |   --  | -2012.0 |  14.5  |   11.6  | -1985.9 |
|  43  |    a0 + pow(x,(1/4))*pow(Abs(a1),(1/4)) + x    |     9      | 5.98e-07 |  -0.22   |   0.69   |   --  | -2008.5 |  14.5  |   8.2   | -1985.8 |
|  44  |          x*exp(1/(a0 + exp(sqrt(x))))          |     9      | 3.70e-07 |  -0.65   |    --    |   --  | -2008.0 |  17.5  |   5.1   | -1985.3 |
|  45  |        a0 + x + pow(Abs(a1 + x),(1/4))         |     9      | 3.45e-07 |  -0.27   | 5.0e-03  |   --  | -2004.3 |  12.5  |   6.6   | -1985.3 |
|  46  |        pow((pow(Abs(a0 - x),a1)/x),a2)         |     9      | 2.16e-07 |  -3.27   |  -0.61   | -0.60 | -2012.2 |  14.5  |   12.9  | -1984.8 |
|  47  |           (a0 - x)/(a1 - pow(x,a2))            |     9      | 1.69e-07 |  -2.19   |  -0.92   | -0.68 | -2012.7 |  14.5  |   13.6  | -1984.6 |
|  48  |           a1 + x - exp(a0 - sqrt(x))           |     9      | 1.47e-07 |   0.18   |   1.16   |   --  | -2009.3 |  14.5  |   10.3  | -1984.4 |
|  49  |        (a0 - pow(Abs(a1 - x),a2))**(-2)        |     9      | 1.24e-07 |   0.24   | 3.2e-03  | -0.26 | -2011.5 |  16.1  |   11.1  | -1984.3 |
|  50  |          a2 + x - pow(Abs(a0 - x),a1)          |     9      | 1.19e-07 |  -0.04   |  -0.15   |  1.65 | -2012.5 |  12.5  |   15.8  | -1984.2 |
+------+------------------------------------------------+------------+----------+----------+----------+-------+---------+--------+---------+---------+
