1.070000052452087402e+00 1.023738861083984375e+00 2.908011972904205322e-01
1.090000033378601074e+00 1.023738861083984375e+00 1.780415326356887817e-01
1.120000004768371582e+00 1.017804145812988281e+00 3.887240290641784668e-01
1.169999957084655762e+00 1.231454014778137207e+00 1.186943575739860535e-01
1.179000020027160645e+00 1.112759590148925781e+00 5.934717878699302673e-02
1.199000000953674316e+00 1.112759590148925781e+00 7.418397814035415649e-02
1.200000047683715820e+00 1.081602334976196289e+00 4.391691386699676514e-01
1.269999980926513672e+00 1.142433166503906250e+00 2.077151238918304443e-01
1.279999971389770508e+00 1.317507386207580566e+00 5.430266857147216797e-01
1.351999998092651367e+00 1.231454014778137207e+00 2.077151238918304443e-01
1.379999995231628418e+00 1.231454014778137207e+00 2.002967298030853271e-01
1.399999976158142090e+00 1.409495472908020020e+00 2.522255182266235352e-01
1.400400042533874512e+00 1.142433166503906250e+00 1.513352990150451660e-01
1.424999952316284180e+00 1.292284846305847168e+00 1.661721020936965942e-01
1.444999933242797852e+00 1.376854658126831055e+00 1.913946419954299927e-01
1.470000028610229492e+00 1.320474743843078613e+00 7.359049916267395020e-01
1.478299975395202637e+00 1.200296759605407715e+00 1.335311532020568848e-01
1.480000019073486328e+00 1.439169049263000488e+00 9.198812842369079590e-01
1.592999935150146484e+00 1.543026685714721680e+00 1.928783357143402100e-01
1.680000066757202148e+00 1.364985108375549316e+00 1.186943575739860535e-01
1.750000000000000000e+00 1.465875387191772461e+00 4.985162913799285889e-01
1.781000018119812012e+00 1.557863473892211914e+00 1.780415326356887817e-01
1.875000000000000000e+00 1.854599356651306152e+00 2.522255182266235352e-01
1.879999995231628418e+00 1.335311532020568848e+00 5.934718251228332520e-01
1.899999976158142090e+00 1.735905051231384277e+00 3.412462770938873291e-01
2.036999940872192383e+00 2.284866333007812500e+00 2.967359125614166260e-01
2.299999952316284180e+00 2.492581605911254883e+00 2.522255182266235352e-01
2.362999916076660156e+00 2.373887300491333008e+00 4.985162913799285889e-01
2.429999828338623047e+00 2.626112699508666992e+00 2.670623064041137695e-01
2.529999971389770508e+00 2.077151298522949219e+00 2.077151238918304443e-01
2.750000000000000000e+00 2.997032642364501953e+00 5.934718251228332520e-01
2.965000152587890625e+00 2.767062187194824219e+00 7.477744817733764648e-01
