0;a0*x**2;148.89964364334054;0.9137268071891118;140.02416;3.3824222;5.493061443340549;0.49883257;0.0;0.0;0.0
1;pow(x,(pow(x,a0)));151.40109624334053;0.07489439306176783;142.69962;3.2084148;5.493061443340549;0.28404205;0.0;0.0;0.0
2;pow(Abs(a0 - x),a1);153.71999130559945;0.007368277539520063;140.68275;6.1057695;6.931471805599453;0.47049941;1.6499617;0.0;0.0
3;pow(Abs(a0 + x),a1);153.71999180559945;0.0;140.68275;6.10577;6.931471805599453;-0.47049945;1.6499618;0.0;0.0
4;a1*pow(x,a0);154.57181900559945;0.003143561102792517;139.89304;7.7473072;6.931471805599453;1.9558345;0.52947133;0.0;0.0
5;pow((x*Abs(a0)),a1);154.97648040559946;0.0;139.89304;8.1519686;6.931471805599453;0.72244236;1.9558346;0.0;0.0
6;pow((Abs(a0)/x),a1);154.97648040559946;0.0;139.89304;8.1519686;6.931471805599453;1.3841934;-1.9558345;0.0;0.0
7;pow((x*Abs(1/a0)),a1);154.97648040559946;0.0;139.89304;8.1519686;6.931471805599453;1.3841934;1.9558345;0.0;0.0
8;pow(x,(pow(Abs(a0),x)));156.22305654334053;0.0006029739575879224;145.15911;5.5708851;5.493061443340549;1.0995785;0.0;0.0;0.0
9;a1 + pow(x,a0);157.70760060559942;0.00013663729666113972;145.10105;5.6750788;6.931471805599453;1.5622065;-0.74083421;0.0;0.0
10;1/(a0 + 1/x);158.17813460559944;8.535302965576047e-05;147.85287;3.3937928;6.931471805599453;-0.12049025;0.0;0.0;0.0
11;a1 + pow(Abs(a0),x);158.94785090559944;3.953078144258753e-05;145.72015;6.2962291;6.931471805599453;1.7010067;-0.72268777;0.0;0.0
12;-x + pow(x,a0);161.78829520559944;2.3085862990935236e-06;150.1637;4.6931234;6.931471805599453;1.7959026;0.0;0.0;0.0
13;pow(Abs(a0),(a1 + x));164.72060940559945;1.2298672521146537e-07;150.89574;6.8933976;6.931471805599453;1.7984483;-0.55473227;0.0;0.0
14;pow(Abs(a0),(a1 - x));164.72060970559943;0.0;150.89574;6.8933979;6.931471805599453;0.55603487;0.55473254;0.0;0.0
15;a1*pow(Abs(a0),x);165.98471680559945;0.0;150.89574;8.157505;6.931471805599453;1.7984483;0.7221042;0.0;0.0
16;a0/pow(Abs(a1),x);165.98471730559945;0.0;150.89574;8.1575055;6.931471805599453;0.72210402;0.55603483;0.0;0.0
17;x*pow(Abs(a0),x);166.18517660559945;2.8431828072947825e-08;154.5061;4.7476048;6.931471805599453;1.1820909;0.0;0.0;0.0
18;x/pow(Abs(a0),x);166.18517680559944;0.0;154.5061;4.747605;6.931471805599453;0.8459586;0.0;0.0;0.0
